GEOID,TOTAL_VOTES,DEM_VOTES,DEM_SHARE,REP_VOTES,REP_SHARE,THRD_VOTES,THRD_SHARE,PARTY_WIN,PARTY_LEAD, 
1001,27857,7503,26.93,19838,71.21,516,1.85,0,-0.44,
1003,110012,24578,22.34,83544,75.94,1890,1.72,0,-0.54,
1005,10560,4816,45.61,5622,53.24,122,1.16,0,-0.08,
1007,9630,1986,20.62,7525,78.14,119,1.24,0,-0.58,
1009,27663,2640,9.54,24711,89.33,312,1.13,0,-0.8,
1011,4633,3446,74.38,1146,24.74,41,0.88,1,0.5,
1013,9527,3965,41.62,5458,57.29,104,1.09,0,-0.16,
1015,51145,15216,29.75,35101,68.63,828,1.62,0,-0.39,
1017,15332,6365,41.51,8753,57.09,214,1.4,0,-0.16,
1019,12346,1624,13.15,10583,85.72,139,1.13,0,-0.73,
1021,19366,3073,15.87,16085,83.06,208,1.07,0,-0.67,
1023,7510,3127,41.64,4296,57.2,87,1.16,0,-0.16,
1025,13185,5755,43.65,7324,55.55,106,0.8,0,-0.12,
1027,6956,1267,18.21,5601,80.52,88,1.27,0,-0.62,
1029,7255,675,9.3,6484,89.37,96,1.32,0,-0.8,
1031,22339,5076,22.72,16899,75.65,364,1.63,0,-0.53,
1033,27984,8343,29.81,19203,68.62,438,1.57,0,-0.39,
1035,6479,2966,45.78,3442,53.13,71,1.1,0,-0.07,
1037,5494,1796,32.69,3631,66.09,67,1.22,0,-0.33,
1039,17491,2721,15.56,14586,83.39,184,1.05,0,-0.68,
1041,6639,1700,25.61,4864,73.26,75,1.13,0,-0.48,
1043,41983,4478,10.67,36880,87.85,625,1.49,0,-0.77,
1045,19814,5170,26.09,14303,72.19,341,1.72,0,-0.46,
1047,17940,12230,68.17,5524,30.79,186,1.04,1,0.37,
1049,29451,4281,14.54,24767,84.1,403,1.37,0,-0.7,
1051,41146,10367,25.2,30164,73.31,615,1.49,0,-0.48,
1053,15956,4918,30.82,10869,68.12,169,1.06,0,-0.37,
1055,47871,11567,24.16,35528,74.22,776,1.62,0,-0.5,
1057,8815,1395,15.83,7300,82.81,120,1.36,0,-0.67,
1059,12665,2086,16.47,10376,81.93,203,1.6,0,-0.65,
1061,12588,1595,12.67,10848,86.18,145,1.15,0,-0.74,
1063,4801,3884,80.9,875,18.23,42,0.87,1,0.63,
1065,7923,4663,58.85,3192,40.29,68,0.86,1,0.19,
1067,9338,2606,27.91,6607,70.75,125,1.34,0,-0.43,
1069,46305,12917,27.9,32618,70.44,770,1.66,0,-0.43,
1071,23729,3717,15.66,19670,82.89,342,1.44,0,-0.67,
1073,327009,181688,55.56,138843,42.46,6478,1.98,1,0.13,
1075,7211,978,13.56,6174,85.62,59,0.82,0,-0.72,
1077,44510,11915,26.77,31721,71.27,874,1.96,0,-0.45,
1079,16101,3562,22.12,12322,76.53,217,1.35,0,-0.54,
1081,71625,27860,38.9,42221,58.95,1544,2.16,0,-0.2,
1083,49383,13672,27.69,34640,70.15,1071,2.17,0,-0.42,
1085,6876,4972,72.31,1836,26.7,68,0.99,1,0.46,
1087,8771,7108,81.04,1541,17.57,122,1.39,1,0.63,
1089,195374,87286,44.68,102780,52.61,5308,2.72,0,-0.08,
1091,10942,5488,50.16,5343,48.83,111,1.01,1,0.01,
1093,13855,1463,10.56,12205,88.09,187,1.35,0,-0.78,
1095,39751,5943,14.95,33191,83.5,617,1.55,0,-0.69,
1097,183813,79474,43.24,101243,55.08,3096,1.68,0,-0.12,
1099,10707,4455,41.61,6147,57.41,105,0.98,0,-0.16,
1101,99562,64529,64.81,33311,33.46,1722,1.73,1,0.31,
1103,53905,13234,24.55,39664,73.58,1007,1.87,0,-0.49,
1105,5258,3860,73.41,1339,25.47,59,1.12,1,0.48,
1107,9701,4022,41.46,5594,57.66,85,0.88,0,-0.16,
1109,13895,5636,40.56,8042,57.88,217,1.56,0,-0.17,
1111,10873,2203,20.26,8559,78.72,111,1.02,0,-0.58,
1113,21394,11228,52.48,9864,46.11,302,1.41,1,0.06,
1115,44551,7744,17.38,36166,81.18,641,1.44,0,-0.64,
1117,115265,33268,28.86,79700,69.15,2297,1.99,0,-0.4,
1119,6324,4648,73.5,1598,25.27,78,1.23,1,0.48,
1121,35779,13138,36.72,22235,62.15,406,1.13,0,-0.25,
1123,21067,5859,27.81,14963,71.03,245,1.16,0,-0.43,
1125,90421,37765,41.77,51117,56.53,1539,1.7,0,-0.15,
1127,31267,4834,15.46,26002,83.16,431,1.38,0,-0.68,
1129,8918,2258,25.32,6564,73.6,96,1.08,0,-0.48,
1131,5935,4048,68.21,1833,30.88,54,0.91,1,0.37,
1133,11313,974,8.61,10195,90.12,144,1.27,0,-0.82,
4001,35172,23293,66.23,11442,32.53,437,1.24,1,0.34,
4003,60442,23732,39.26,35557,58.83,1153,1.91,0,-0.2,
