GEOID,Pop_Urban,Pop_Rural,%Urban_pop
01001,34885,23920,59.32
01003,144654,87113,62.41
01005,8596,16627,34.08
01007,0,22293,0.0
01009,5624,53510,9.51
01011,0,10357,0.0
01013,5823,13228,30.57
01015,73947,42494,63.51
01017,17127,17645,49.26
01019,0,24971,0.0
01021,6507,38507,14.46
01023,0,12665,0.0
01025,0,23087,0.0
01027,0,14236,0.0
01029,0,15056,0.0
01031,28053,25412,52.47
01033,34167,23060,59.7
01035,0,11597,0.0
01037,0,10387,0.0
01039,11716,25854,31.18
01041,0,13194,0.0
01043,21440,66426,24.4
01045,24440,24886,49.55
01047,21207,17255,55.14
01049,8380,63228,11.7
01051,25305,62672,28.76
01053,12761,23996,34.72
01055,58783,44653,56.83
01057,0,16321,0.0
01059,9939,22174,30.95
01061,149,26510,0.56
01063,0,7730,0.0
01065,0,14785,0.0
01067,0,17146,0.0
01069,70414,36788,65.68
01071,12982,39597,24.69
01073,593276,81445,87.93
01075,0,13972,0.0
01077,44758,48806,47.84
01079,2,33071,0.01
01081,128259,45982,73.61
01083,50736,52834,48.99
01085,0,10311,0.0
01087,9003,10529,46.09
01089,321770,66383,82.9
01091,6227,13096,32.23
01093,0,29341,0.0
01095,45242,52370,46.35
01097,321907,92902,77.6
01099,4284,15488,21.67
01101,200646,28308,87.64
01103,75981,47440,61.56
01105,0,8511,0.0
01107,0,19123,0.0
01109,14466,18543,43.82
01111,0,21967,0.0
01113,35302,23881,59.65
01115,29963,61140,32.89
01117,169571,53453,76.03
01119,0,12345,0.0
01121,33944,48205,41.32
01123,8920,32391,21.59
01125,156450,70586,68.91
01127,13274,52068,20.31
01129,0,15388,0.0
01131,0,10600,0.0
01133,0,23540,0.0
02002,71396,24259,74.64
02006,0,14768,0.0
02010,0,1619,0.0
02012,53444,53637,49.91
02014,278813,12434,95.73
02030,22818,56846,28.64
02033,0,5685,0.0
02034,24756,7499,76.75
02035,7668,9941,43.55
02036,11975,4100,74.49
02037,0,15829,0.0
02038,5097,13569,27.31
02039,0,18414,0.0
02040,0,18824,0.0
04001,0,66021,0.0
04003,79323,46124,63.23
04005,98082,47019,67.6
04007,29642,23630,55.64
04009,18331,20202,47.57
04011,0,9563,0.0
04012,9368,7189,56.58
04013,4318689,101879,97.7
04015,162227,51040,76.07
04017,38148,68569,35.75
04019,951173,92260,91.16
04021,327317,97947,76.97
04023,19168,28501,40.21
04025,160668,75541,68.02
04027,173094,30787,84.9
05001,8132,9017,47.42
05003,7184,11878,37.69
05005,17783,23844,42.72
05007,216081,68252,76.0
05009,13950,23423,37.33
05011,5278,5267,50.05
05013,0,4739,0.0
05015,5057,23203,17.89
05017,0,10208,0.0
05019,10086,11360,47.03
05021,0,14552,0.0
05023,6743,17968,27.29
05025,0,7550,0.0
05027,10403,12398,45.63
05029,6340,14375,30.61
05031,73781,37450,66.33
05033,30422,29711,50.59
05035,39313,8850,81.62
05037,7564,9269,44.94
05039,0,6482,0.0
05041,4308,7087,37.81
05043,7974,9376,45.96
05045,66619,56879,53.94
05047,0,17097,0.0
05049,0,12075,0.0
05051,66335,33845,66.22
05053,4710,13248,26.23
05055,25089,20647,54.86
05057,8855,11210,44.13
05059,8852,24188,26.79
05061,0,12785,0.0
05063,10913,27025,28.77
05065,0,13577,0.0
05067,5947,10808,35.49
05069,46683,20577,69.41
05071,7816,17933,30.35
05073,0,6308,0.0
05075,6540,9676,40.33
05077,0,8600,0.0
05079,0,12941,0.0
05081,0,12026,0.0
05083,0,21131,0.0
05085,35574,38441,48.06
05087,0,16521,0.0
05089,0,16826,0.0
05091,25600,17000,60.09
05093,22117,18568,54.36
05095,0,6799,0.0
05097,0,8484,0.0
05099,0,8310,0.0
05101,0,7225,0.0
05103,9873,12777,43.59
05105,0,10019,0.0
05107,8599,7969,51.9
05109,0,10171,0.0
05111,7233,15732,31.5
05113,5534,13687,28.79
05115,27960,35421,44.11
05117,0,8282,0.0
05119,353778,45347,88.64
05121,7164,11407,38.58
05123,8557,14533,37.06
05125,78046,45370,63.24
05127,0,9836,0.0
05129,0,7828,0.0
05131,102655,25144,80.33
05133,5894,9945,37.21
05135,0,17271,0.0
05137,0,12359,0.0
05139,18698,20356,47.88
05141,0,15796,0.0
05143,186859,59012,76.0
05145,33868,42954,44.09
05147,0,6269,0.0
05149,3910,16353,19.3
06001,1674100,8253,99.51
06003,0,1204,0.0
