GEOID,Male_total,Female_total,%AGE_MALE_YNG,%AGE_MALE_MID,%AGE_MALE_OLD,%AGE_MALE_YOUNG,%AGE_MALE_OLDER,%AGE_FEMALE_YNG,%AGE_FEMALE_MID,%AGE_FEMALE_OLD,%AGE_FEMALE_YOUNG,%AGE_FEMALE_OLDER,%RACE_White,%RACE_Black,%RACE_Latino,%RACE_Native,%RACE_Asian,%RACE_HI_PI,%RACE_Other,%RACE_Mixed,%RACE_NonWhite,%RACE_BAO,%RACE_LNHM,%REL_OP_SEX_MAR,%REL_OP_SEX_UNMAR,%REL_S_SEX_MAR,%REL_S_SEX_UNMAR,%REL_W_RELATIVES,%REL_NON_REL,%REL_MALE_JAILED,%REL_FEMALE_JAILED,%REL_MALE_GRP_DORM,%REL_FEMALE_GRP_DORM,%HH_MARRIED,%HH_MAR_W_KIDS,%HH_NOT_MAR,%HH_NOT_MAR_W_KIDS,%HH_MALE_ALONE,%HH_MALE_65+,%HH_MALE_W_KIDS,%HH_FEMALE_ALONE,%HH_FEMALE_65+,%HH_FEMALE_W_KIDS,%OWN_HOME,%Urban_pop,PARTY_WIN,PARTY_LEAD
1001,28390,30415,27.45,19.7,27.2,40.45,33.9,33.37,13.0,30.5,46.37,30.5,70.7,19.3,3.6,0.3,1.5,0.0,0.3,4.2,29.2,21.1,8.1,19.7,1.8,0.1,0.1,3.7,2.0,0.3,0.4,0.1,0.1,52.0,20.5,4.7,2.0,11.1,3.1,1.7,13.3,6.9,6.0,73.8,59.32,0,-0.44
1003,112627,119140,24.24,18.7,34.6,36.54,41.0,29.44,12.5,38.0,41.94,38.0,80.5,7.8,5.5,0.6,0.9,0.1,0.3,4.5,19.7,9.0,10.7,21.1,2.1,0.1,0.1,3.4,2.2,0.7,0.5,0.2,0.2,52.8,17.3,5.4,1.7,11.2,4.1,1.4,14.8,8.4,4.4,74.3,62.41,0,-0.54
1005,13167,12056,28.88,20.4,31.6,42.58,38.3,28.7,12.3,37.8,41.0,37.8,44.0,47.0,6.0,0.2,0.4,0.0,0.2,2.2,56.0,47.6,8.4,14.2,1.7,0.1,0.1,3.7,1.8,10.2,0.4,0.1,0.0,37.1,10.4,4.5,1.7,15.1,5.3,1.2,18.2,10.4,9.6,64.0,34.08,0,-0.08
1007,11798,10495,29.74,22.4,27.4,45.14,34.4,31.85,13.2,32.6,45.05,32.6,73.8,19.7,3.3,0.2,0.1,0.0,0.2,2.7,26.2,20.0,6.2,17.1,1.8,0.1,0.1,4.1,2.1,8.6,0.8,0.1,0.1,48.4,17.4,5.4,2.2,13.4,4.4,1.4,13.6,7.4,5.4,74.8,0.0,0,-0.58
1009,29197,29937,25.89,19.5,30.7,38.79,37.3,31.0,13.1,33.4,44.1,33.4,84.2,1.4,9.8,0.3,0.3,0.0,0.2,3.9,15.9,1.9,14.0,21.2,1.5,0.1,0.1,4.1,2.1,0.2,0.5,0.2,0.2,56.2,20.4,4.1,1.6,11.4,3.9,1.6,12.4,7.6,3.6,80.9,9.51,0,-0.8
1011,5628,4729,29.92,22.9,29.1,46.02,35.9,31.07,10.5,37.8,41.57,37.8,22.0,71.3,4.9,0.0,0.1,0.1,0.3,1.3,78.0,71.7,6.3,9.9,1.5,0.1,0.0,3.9,1.6,15.7,0.5,0.2,0.0,26.7,6.8,4.2,2.3,18.3,6.2,1.1,21.3,10.5,11.0,67.2,0.0,1,0.5
1013,8971,10080,23.55,18.0,33.7,35.25,40.0,30.49,12.1,38.2,42.59,38.2,50.8,44.0,1.4,0.1,0.8,0.0,0.2,2.7,49.2,45.0,4.2,15.7,1.9,0.1,0.1,4.5,1.5,0.6,0.7,0.1,0.1,36.7,10.6,4.3,1.8,14.6,5.7,1.1,19.5,10.7,8.7,64.4,30.57,0,-0.16
1015,55787,60654,29.45,18.0,30.4,41.25,36.6,35.15,11.9,33.6,47.05,33.6,68.3,21.8,4.3,0.3,1.0,0.1,0.3,3.9,31.7,23.1,8.6,16.9,2.3,0.1,0.1,3.8,2.6,0.6,1.1,1.5,1.5,42.6,13.6,6.1,2.3,14.0,4.4,1.6,16.4,8.6,6.2,68.4,63.51,0,-0.39
1017,16902,17870,27.3,19.0,32.8,39.3,39.8,30.63,12.9,37.3,43.53,37.3,53.5,38.7,3.6,0.2,1.1,0.0,0.3,2.6,46.5,40.1,6.4,15.9,2.3,0.1,0.1,4.7,2.6,0.7,0.8,0.9,0.1,39.2,10.6,5.8,2.2,14.7,5.0,1.4,15.1,8.5,7.0,66.1,49.26,0,-0.16
1019,12327,12644,22.53,19.0,38.6,34.53,45.6,27.01,13.2,41.2,40.21,41.2,90.4,4.0,1.6,0.4,0.2,0.0,0.2,3.2,9.6,4.4,5.2,21.3,2.1,0.1,0.1,3.5,2.1,0.6,0.6,0.0,0.0,51.3,14.2,5.3,1.9,13.7,5.7,1.4,14.5,8.9,3.5,79.2,0.0,0,-0.73
